"filename", "language", "Markdown", "JSON", "HTML", "C++", "Dart", "Swift", "XML", "YAML", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"c:\Users\lauho\source\repos\flutter\drive_easy\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\lauho\source\repos\flutter\drive_easy\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 23, 4, 31
"c:\Users\lauho\source\repos\flutter\drive_easy\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 4, 13, 74
"c:\Users\lauho\source\repos\flutter\drive_easy\android\app\google-services.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
"c:\Users\lauho\source\repos\flutter\drive_easy\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 3, 1, 8
"c:\Users\lauho\source\repos\flutter\drive_easy\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 6, 3, 37
"c:\Users\lauho\source\repos\flutter\drive_easy\android\app\src\main\kotlin\com\forpersonaluse\drive_easy\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 4, 21
"c:\Users\lauho\source\repos\flutter\drive_easy\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\lauho\source\repos\flutter\drive_easy\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"c:\Users\lauho\source\repos\flutter\drive_easy\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
